condition,policy_name,sample_count,action_utility,mask_f1,compression_cost,generator_score,ood_generalization_score,gain_over_random,gain_over_hand_designed,oracle_gap,invalid_metric_count,episode_id,action_type,region_id,action_score,direct_mask_precision,direct_mask_recall,indirect_mask_precision,indirect_mask_recall
compression_required,g1_1_generator,,0.9,0.2,0.75,0.5900000000000001,,,,,,10006,indirect_stabilize,16,0.9,0.0,0.0,0.25,1.0
compression_required,g1_1_generator,,0.9,0.16666666666666669,0.75,0.5783333333333334,,,,,,10007,indirect_stabilize,17,0.9,0.0,0.0,0.2,1.0
compression_required,g1_1_generator,,0.9,0.5,0.75,0.6950000000000001,,,,,,10008,indirect_stabilize,0,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_generator,,0.9,0.5,0.75,0.6950000000000001,,,,,,10009,indirect_stabilize,1,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_generator,,0.9,0.14285714285714285,0.75,0.5700000000000001,,,,,,10010,indirect_stabilize,2,0.9,0.0,0.0,0.16666666666666666,1.0
compression_required,g1_1_generator,,0.9,0.3333333333333333,0.75,0.6366666666666667,,,,,,10011,indirect_stabilize,3,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_generator,,0.9,0.5,0.75,0.6950000000000001,,,,,,10012,indirect_stabilize,4,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_generator,,0.9,0.3333333333333333,0.75,0.6366666666666667,,,,,,10013,indirect_stabilize,5,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_generator,,0.9,0.25,0.75,0.6075,,,,,,10014,indirect_stabilize,6,0.9,0.0,0.0,0.3333333333333333,1.0
compression_required,g1_1_generator,,0.9,0.5,0.75,0.6950000000000001,,,,,,10015,indirect_stabilize,7,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_generator,,0.9,0.5,0.75,0.6950000000000001,,,,,,10016,indirect_stabilize,8,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_generator,,0.9,0.16666666666666669,0.75,0.5783333333333334,,,,,,10017,indirect_stabilize,9,0.9,0.0,0.0,0.2,1.0
compression_required,g1_1_no_feedback,,0.9,0.2,0.625,0.6025,,,,,,10000,indirect_stabilize,10,0.9,0.0,0.0,0.25,1.0
compression_required,g1_1_no_feedback,,0.9,0.25,0.625,0.62,,,,,,10001,indirect_stabilize,11,0.9,0.0,0.0,0.3333333333333333,1.0
compression_required,g1_1_no_feedback,,0.9,0.3333333333333333,0.625,0.6491666666666667,,,,,,10002,indirect_stabilize,12,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_no_feedback,,0.9,0.5,0.625,0.7075,,,,,,10003,indirect_stabilize,13,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_no_feedback,,0.9,0.2,0.625,0.6025,,,,,,10004,indirect_stabilize,14,0.9,0.0,0.0,0.25,1.0
compression_required,g1_1_no_feedback,,0.9,0.25,0.625,0.62,,,,,,10005,indirect_stabilize,15,0.9,0.0,0.0,0.3333333333333333,1.0
compression_required,g1_1_no_feedback,,0.9,0.2,0.625,0.6025,,,,,,10006,indirect_stabilize,16,0.9,0.0,0.0,0.25,1.0
compression_required,g1_1_no_feedback,,0.9,0.16666666666666669,0.625,0.5908333333333333,,,,,,10007,indirect_stabilize,17,0.9,0.0,0.0,0.2,1.0
compression_required,g1_1_no_feedback,,0.9,0.5,0.625,0.7075,,,,,,10008,indirect_stabilize,0,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_no_feedback,,0.9,0.5,0.625,0.7075,,,,,,10009,indirect_stabilize,1,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_no_feedback,,0.9,0.14285714285714285,0.625,0.5825,,,,,,10010,indirect_stabilize,2,0.9,0.0,0.0,0.16666666666666666,1.0
compression_required,g1_1_no_feedback,,0.9,0.3333333333333333,0.625,0.6491666666666667,,,,,,10011,indirect_stabilize,3,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_no_feedback,,0.9,0.5,0.625,0.7075,,,,,,10012,indirect_stabilize,4,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_no_feedback,,0.9,0.3333333333333333,0.625,0.6491666666666667,,,,,,10013,indirect_stabilize,5,0.9,0.0,0.0,0.5,1.0
compression_required,g1_1_no_feedback,,0.9,0.25,0.625,0.62,,,,,,10014,indirect_stabilize,6,0.9,0.0,0.0,0.3333333333333333,1.0
compression_required,g1_1_no_feedback,,0.9,0.5,0.625,0.7075,,,,,,10015,indirect_stabilize,7,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_no_feedback,,0.9,0.5,0.625,0.7075,,,,,,10016,indirect_stabilize,8,0.9,0.0,0.0,1.0,1.0
compression_required,g1_1_no_feedback,,0.9,0.16666666666666669,0.625,0.5908333333333333,,,,,,10017,indirect_stabilize,9,0.9,0.0,0.0,0.2,1.0
compression_required,g1_1_no_compression,,0.2,0.3333333333333333,0.625,0.26416666666666666,,,,,,10000,apply_local_damping,10,0.2,0.0,0.0,0.5,1.0
compression_required,g1_1_no_compression,,0.2,0.0,0.625,0.14750000000000002,,,,,,10001,apply_local_damping,16,0.2,0.0,0.0,0.0,0.0
compression_required,g1_1_no_compression,,0.1,0.0,0.625,0.09250000000000001,,,,,,10002,indirect_stabilize,17,0.1,0.0,0.0,0.0,0.0
compression_required,g1_1_no_compression,,0.9,0.3333333333333333,0.625,0.6491666666666667,,,,,,10003,indirect_stabilize,13,0.9,0.0,0.0,0.5,1.0
